data,temperature_2m_max,temperature_2m_min,precipitation_sum,weather_code
2023-08-23,34.3,20.8,0.0,3
2023-08-24,37.1,23.0,0.0,2
2023-08-25,25.8,22.0,1.5,53
2023-08-26,21.8,17.9,19.1,61
2023-08-27,18.3,16.7,37.3,63
2023-08-28,18.3,16.8,9.8,63
2023-08-29,22.0,18.1,4.0,55
2023-08-30,24.4,19.4,1.0,53
2023-08-31,23.3,16.7,0.0,3
2023-09-01,24.1,17.7,0.0,3
2023-09-02,28.3,19.2,0.0,3
2023-09-03,29.7,21.0,0.0,3
2023-09-04,31.1,21.7,0.0,3
2023-09-05,31.8,21.5,3.2,61
2023-09-06,22.4,20.5,3.4,51
2023-09-07,22.7,18.7,2.4,53
2023-09-08,27.3,18.7,0.0,3
2023-09-09,30.9,20.3,0.0,3
2023-09-10,26.0,20.9,0.0,3
2023-09-11,26.4,20.3,0.0,3
2023-09-12,30.7,20.1,0.0,0
2023-09-13,31.7,21.1,0.0,0
2023-09-14,33.6,20.0,3.9,61
2023-09-15,21.0,18.9,8.0,63
2023-09-16,24.7,17.8,0.0,1
2023-09-17,30.9,20.4,0.0,0
2023-09-18,31.6,20.8,0.0,0
2023-09-19,30.0,20.1,0.0,0
2023-09-20,25.9,19.4,0.2,51
2023-09-21,28.4,20.3,0.0,3
2023-09-22,31.6,21.3,0.0,2
2023-09-23,26.9,21.5,0.0,3
2023-09-24,32.9,21.3,0.0,3
2023-09-25,27.9,23.0,0.9,51
2023-09-26,29.7,22.5,0.3,51
2023-09-27,38.5,23.1,1.3,53
2023-09-28,24.4,21.2,9.2,61
2023-09-29,23.5,19.8,0.5,51
2023-09-30,26.6,20.6,0.0,3
2023-10-01,25.1,20.9,11.3,63
2023-10-02,23.0,21.0,3.1,61
2023-10-03,24.3,20.4,0.4,51
2023-10-04,29.4,20.4,0.1,51
2023-10-05,29.7,22.9,0.0,3
2023-10-06,27.1,22.6,0.0,3
2023-10-07,35.7,23.7,1.1,53
2023-10-08,30.6,23.2,0.2,51
2023-10-09,29.8,22.4,3.3,53
2023-10-10,24.9,21.6,3.7,55
2023-10-11,27.6,20.5,0.0,1
2023-10-12,33.6,22.7,0.0,3
2023-10-13,25.4,21.1,7.3,55
2023-10-14,21.5,20.0,15.8,63
2023-10-15,25.3,19.8,0.5,51
2023-10-16,28.9,20.4,0.0,3
2023-10-17,30.8,23.3,1.6,53
2023-10-18,24.8,21.9,3.8,53
2023-10-19,22.8,21.0,0.9,51
2023-10-20,23.1,19.8,1.8,55
2023-10-21,23.8,20.4,0.1,51
2023-10-22,24.5,20.0,0.1,51
2023-10-23,27.7,19.0,0.0,3
2023-10-24,31.6,20.5,2.3,61
2023-10-25,24.7,21.1,3.6,53
2023-10-26,24.3,19.7,0.3,51
2023-10-27,24.9,21.5,1.4,51
2023-10-28,31.6,22.4,0.0,3
2023-10-29,34.6,23.4,9.0,63
2023-10-30,31.2,23.6,2.2,61
2023-10-31,30.4,24.4,1.8,53
2023-11-01,25.9,22.2,8.2,61
2023-11-02,25.1,21.5,1.4,51
2023-11-03,30.2,21.8,0.2,51
2023-11-04,26.7,22.5,0.1,51
2023-11-05,24.9,20.5,0.8,51
2023-11-06,23.9,18.8,0.2,51
2023-11-07,24.8,20.4,0.0,3
2023-11-08,28.1,18.8,0.0,0
2023-11-09,34.8,19.7,0.0,3
2023-11-10,28.1,23.0,0.0,3
2023-11-11,29.3,22.3,0.0,3
2023-11-12,35.1,25.9,0.0,3
2023-11-13,32.2,25.3,0.0,3
2023-11-14,34.6,24.4,0.0,3
2023-11-15,30.3,24.5,0.5,51
2023-11-16,36.4,25.0,0.0,3
2023-11-17,34.3,26.1,0.0,3
2023-11-18,40.0,27.2,0.1,51
2023-11-19,30.6,24.4,8.7,61
2023-11-20,25.9,22.6,7.8,61
2023-11-21,29.0,22.1,0.7,53
2023-11-22,33.0,23.9,0.4,51
2023-11-23,31.7,24.4,1.5,51
2023-11-24,24.9,22.9,8.9,61
2023-11-25,25.2,20.6,0.0,3
2023-11-26,26.3,20.4,0.1,51
2023-11-27,28.7,21.4,0.6,51
2023-11-28,30.1,22.4,2.6,55
2023-11-29,28.1,23.8,7.9,61
2023-11-30,29.9,24.7,0.2,51
2023-12-01,28.2,23.7,0.1,51
2023-12-02,29.0,23.2,0.0,3
2023-12-03,31.2,23.7,0.0,3
2023-12-04,29.3,24.5,1.3,53
2023-12-05,28.3,24.4,3.1,53
2023-12-06,31.7,24.5,0.1,51
2023-12-07,38.9,25.8,0.4,51
2023-12-08,31.0,24.2,15.6,63
2023-12-09,24.5,22.3,16.7,63
2023-12-10,25.2,21.4,0.4,51
2023-12-11,26.3,22.3,13.2,63
2023-12-12,25.7,22.2,3.5,53
2023-12-13,26.3,20.9,0.0,3
2023-12-14,29.4,22.0,0.0,3
2023-12-15,31.1,22.9,0.0,1
2023-12-16,31.2,23.0,0.0,3
2023-12-17,30.9,22.7,0.0,2
2023-12-18,29.2,22.4,0.0,2
2023-12-19,28.1,22.1,0.2,51
2023-12-20,26.8,21.2,0.9,51
2023-12-21,29.3,22.2,0.0,3
2023-12-22,31.5,23.6,0.0,3
2023-12-23,30.0,24.1,0.0,3
2023-12-24,33.8,23.9,10.9,63
2023-12-25,33.5,25.0,5.6,63
2023-12-26,34.0,23.1,12.6,63
2023-12-27,27.4,23.2,2.7,61
2023-12-28,28.3,21.9,0.0,1
2023-12-29,36.7,23.1,0.0,3
2023-12-30,29.8,24.1,2.0,51
2023-12-31,27.1,23.3,1.1,53
2024-01-01,26.7,22.3,1.5,53
2024-01-02,28.2,23.1,0.9,51
2024-01-03,28.6,23.1,13.0,63
2024-01-04,27.6,23.4,11.8,61
2024-01-05,27.0,23.2,2.7,53
2024-01-06,27.1,23.1,1.3,53
2024-01-07,28.3,21.9,0.0,3
2024-01-08,33.0,23.6,0.0,3
2024-01-09,33.1,25.7,0.1,51
2024-01-10,32.5,24.9,0.1,51
2024-01-11,36.4,25.5,3.2,63
2024-01-12,33.1,25.6,10.1,63
2024-01-13,27.4,24.5,12.9,61
2024-01-14,27.9,23.6,7.7,61
2024-01-15,34.5,24.3,0.0,2
2024-01-16,36.2,26.3,0.3,51
2024-01-17,37.1,27.3,0.3,51
2024-01-18,30.8,26.5,0.7,51
2024-01-19,31.5,26.4,2.6,61
2024-01-20,33.4,25.3,8.8,63
2024-01-21,28.8,24.1,18.7,63
2024-01-22,27.1,23.6,6.2,55
2024-01-23,25.1,19.7,21.4,63
2024-01-24,24.1,19.6,12.8,63
2024-01-25,26.3,22.6,8.8,61
2024-01-26,25.4,22.6,17.5,63
2024-01-27,26.6,22.8,2.6,53
2024-01-28,27.7,23.0,16.8,63
2024-01-29,28.0,22.9,0.0,3
2024-01-30,30.7,23.9,0.1,51
2024-01-31,30.3,24.5,1.3,53
2024-02-01,28.9,23.9,1.7,53
2024-02-02,27.0,24.0,4.8,63
2024-02-03,28.8,23.4,0.0,3
2024-02-04,30.2,24.7,5.2,63
2024-02-05,30.1,24.3,0.0,3
2024-02-06,29.4,24.5,0.0,3
2024-02-07,29.6,24.5,0.0,3
2024-02-08,30.0,24.7,0.9,51
